Seq,1:EventCounter,1:Sync,1:Aux,1:Fx,1:Fy,1:Fz,1:Mx,1:My,1:Mz,1:COPx,1:COPy,2:EventCounter,2:Sync,2:Aux,2:Fx,2:Fy,2:Fz,2:Mx,2:My,2:Mz,2:COPx,2:COPy,3:EventCounter,3:Sync,3:Aux,3:Fx,3:Fy,3:Fz,3:Mx,3:My,3:Mz,3:COPx,3:COPy,4:EventCounter,4:Sync,4:Aux,4:Fx,4:Fy,4:Fz,4:Mx,4:My,4:Mz,4:COPx,4:COPy
4729.000000,2433391.000000,255.000000,255.000000,-8.110731,-35.441788,-1.251160,-1.161025,0.747163,0.525148,0.000000,0.000000,2433391.000000,248.000000,255.000000,4.384282,-45.279732,0.164785,-0.623297,-0.025609,0.144300,0.000000,0.000000,2433391.000000,255.000000,255.000000,2.730676,-20.503731,-2.274482,3.306241,-0.148472,2.405939,0.000000,0.000000,2433391.000000,192.000000,255.000000,-7.586460,-55.920204,190.246353,-25.509336,6.911154,-4.726350,-0.036327,-0.134086
4730.000000,2433392.000000,255.000000,255.000000,-7.382328,-33.181709,-1.891859,-0.996739,0.578571,0.073753,0.000000,0.000000,2433392.000000,248.000000,255.000000,4.420878,-37.780525,2.027164,-0.081089,-0.004704,0.331047,0.000000,0.000000,2433392.000000,255.000000,255.000000,2.303170,-18.526503,-1.977799,3.357548,-0.222213,2.644238,0.000000,0.000000,2433392.000000,192.000000,255.000000,-2.375816,-46.462257,157.380386,-22.210596,7.720484,-4.373826,-0.049056,-0.141127
4731.000000,2433393.000000,255.000000,255.000000,-6.371119,-27.662510,-1.662519,-0.943387,0.374503,-1.180363,0.000000,0.000000,2433393.000000,248.000000,255.000000,3.080269,-27.379707,4.717083,0.545135,-0.000010,0.923673,0.000000,0.000000,2433393.000000,255.000000,255.000000,2.428540,-15.240190,-1.953004,3.365348,-0.309587,2.641927,0.000000,0.000000,2433393.000000,192.000000,255.000000,-1.304705,-36.682983,118.991249,-20.191563,8.804774,-3.202722,-0.073995,-0.169689
4732.000000,2433394.000000,255.000000,255.000000,-5.975496,-21.503710,-1.427344,-1.160372,0.247495,-1.787078,0.000000,0.000000,2433394.000000,248.000000,255.000000,2.736544,-19.144274,5.991524,0.918482,0.043088,1.186518,-0.007192,0.153297,2433394.000000,255.000000,255.000000,2.842523,-12.033478,-1.422369,3.205419,-0.325700,2.565174,0.000000,0.000000,2433394.000000,192.000000,255.000000,-1.475152,-29.423079,86.262375,-20.044121,9.971315,-2.191123,-0.115593,-0.232362
4733.000000,2433395.000000,255.000000,255.000000,-6.672294,-15.039808,-1.381545,-1.465412,0.213151,-2.052636,0.000000,0.000000,2433395.000000,248.000000,255.000000,2.735242,-14.902248,6.006249,0.791229,0.265648,1.286678,-0.044229,0.131734,2433395.000000,255.000000,255.000000,3.032335,-9.642862,-1.443637,3.132446,-0.318905,2.494576,0.000000,0.000000,2433395.000000,192.000000,255.000000,-1.677004,-24.351051,59.138206,-21.402187,11.242015,-1.790182,-0.190097,-0.361901
4734.000000,2433396.000000,255.000000,255.000000,-7.775774,-9.712320,-0.337444,-1.805150,0.315251,-1.373611,0.000000,0.000000,2433396.000000,248.000000,255.000000,2.200552,-15.269730,5.897445,0.462798,0.337894,1.462079,-0.057295,0.078474,2433396.000000,255.000000,255.000000,2.946590,-8.779168,-1.509824,3.135685,-0.312430,2.407286,0.000000,0.000000,2433396.000000,192.000000,255.000000,-2.338784,-22.353561,43.779949,-25.234642,13.013392,-2.184861,-0.297246,-0.576397
4735.000000,2433397.000000,255.000000,255.000000,-9.368794,-8.344785,0.778985,-2.002943,0.428165,-0.795985,0.000000,0.000000,2433397.000000,248.000000,255.000000,1.830218,-21.274221,4.102128,-0.082134,0.308837,2.147019,0.000000,0.000000,2433397.000000,255.000000,255.000000,3.101313,-10.251907,-2.182142,2.992551,-0.296366,2.341250,0.000000,0.000000,2433397.000000,192.000000,255.000000,-3.794505,-23.024879,42.625610,-31.115307,15.053941,-2.817977,-0.353167,-0.729967
4736.000000,2433398.000000,255.000000,255.000000,-10.410052,-10.666570,1.441846,-1.928974,0.607151,-0.772133,0.000000,0.000000,2433398.000000,248.000000,255.000000,0.739212,-29.447294,2.227124,-0.938455,0.335549,3.026028,0.000000,0.000000,2433398.000000,255.000000,255.000000,2.905488,-13.456564,-2.834535,3.011476,-0.187502,2.431491,0.000000,0.000000,2433398.000000,192.000000,255.000000,-7.635780,-25.994934,53.901417,-39.285316,17.504536,-4.247118,-0.324751,-0.728836
4737.000000,2433399.000000,255.000000,255.000000,-10.684467,-16.794100,1.982107,-1.446728,0.901336,-0.867251,0.000000,0.000000,2433399.000000,248.000000,255.000000,-0.928683,-40.408020,-0.796487,-1.676045,0.176468,3.670850,0.000000,0.000000,2433399.000000,255.000000,255.000000,2.970111,-17.282448,-3.207795,2.934848,-0.242231,2.363772,0.000000,0.000000,2433399.000000,192.000000,255.000000,-14.022129,-30.255791,79.718788,-49.380417,20.142714,-4.704918,-0.252672,-0.619433
4738.000000,2433400.000000,255.000000,255.000000,-11.246944,-24.358364,2.288763,-0.965459,1.015342,-1.314597,0.000000,0.000000,2433400.000000,248.000000,255.000000,-1.935507,-49.836975,-3.620975,-2.261358,0.058028,4.158893,0.000000,0.000000,2433400.000000,255.000000,255.000000,2.888265,-21.313681,-3.365973,3.095607,-0.271913,2.211127,0.000000,0.000000,2433400.000000,192.000000,255.000000,-22.081486,-36.361164,111.200851,-58.350056,22.046032,-4.952714,-0.198254,-0.524727
4739.000000,2433401.000000,255.000000,255.000000,-11.131003,-31.403261,1.959751,-0.460896,1.005091,-1.896211,0.000000,0.000000,2433401.000000,248.000000,255.000000,-2.533809,-55.676029,-5.436391,-2.562508,0.092261,4.604073,0.000000,0.000000,2433401.000000,255.000000,255.000000,2.881271,-24.413494,-3.688858,3.138973,-0.217919,2.163102,0.000000,0.000000,2433401.000000,192.000000,255.000000,-31.435083,-43.778141,146.299957,-64.957611,22.657518,-5.992641,-0.154870,-0.444003
